Step,State_Code,State_Name,Duration_Days,Total_Time
1,3,Пасмурно (3),1.8781,1.8781
2,2,Облачно (2),0.9383,2.8163
3,1,Ясно (1),3.1988,6.0152
4,2,Облачно (2),3.1512,9.1664
5,3,Пасмурно (3),0.1539,9.3203
6,2,Облачно (2),0.0486,9.3689
7,3,Пасмурно (3),1.1387,10.5076
8,1,Ясно (1),0.2598,10.7673
9,2,Облачно (2),0.2759,11.0432
10,1,Ясно (1),0.9828,12.026
11,3,Пасмурно (3),2.8394,14.8654
12,2,Облачно (2),0.5427,15.4081
13,3,Пасмурно (3),5.99,21.3981
14,2,Облачно (2),0.645,22.0431
15,3,Пасмурно (3),0.5438,22.587
16,2,Облачно (2),1.02,23.607
17,3,Пасмурно (3),3.211,26.818
18,1,Ясно (1),1.3502,28.1682
19,2,Облачно (2),0.6328,28.801
20,1,Ясно (1),0.3545,29.1556
21,3,Пасмурно (3),1.7997,30.9553
22,2,Облачно (2),0.5172,31.4725
23,1,Ясно (1),3.3884,34.8609
24,2,Облачно (2),0.4847,35.3455
25,3,Пасмурно (3),0.9629,36.3084
26,1,Ясно (1),3.7379,40.0463
27,2,Облачно (2),2.4247,42.471
28,3,Пасмурно (3),3.6447,46.1157
29,2,Облачно (2),1.1452,47.2609
30,3,Пасмурно (3),12.1129,59.3739
31,1,Ясно (1),1.2548,60.6287
32,2,Облачно (2),0.7713,61.4
33,3,Пасмурно (3),0.122,61.522
34,2,Облачно (2),0.3659,61.8879
35,1,Ясно (1),0.0539,61.9418
36,2,Облачно (2),1.0258,62.9675
37,3,Пасмурно (3),3.2477,66.2152
38,1,Ясно (1),0.68,66.8951
39,3,Пасмурно (3),3.2649,70.16
40,1,Ясно (1),0.9559,71.1159
41,2,Облачно (2),0.0791,71.195
42,3,Пасмурно (3),0.1108,71.3058
43,2,Облачно (2),1.4698,72.7756
44,3,Пасмурно (3),1.082,73.8576
45,1,Ясно (1),0.5816,74.4392
46,2,Облачно (2),0.1395,74.5787
47,3,Пасмурно (3),2.1533,76.732
48,1,Ясно (1),1.1363,77.8683
49,2,Облачно (2),0.0661,77.9343
50,1,Ясно (1),3.4028,81.3371
51,2,Облачно (2),0.0638,81.4009
52,3,Пасмурно (3),0.4282,81.8291
53,2,Облачно (2),1.2004,83.0295
54,3,Пасмурно (3),0.0001,83.0297
55,1,Ясно (1),2.614,85.6436
56,2,Облачно (2),1.6542,87.2978
57,1,Ясно (1),1.711,89.0089
58,2,Облачно (2),0.0155,89.0244
59,1,Ясно (1),2.4871,91.5115
60,2,Облачно (2),1.335,92.8464
61,3,Пасмурно (3),0.6984,93.5448
62,2,Облачно (2),1.4182,94.963
63,1,Ясно (1),0.8749,95.8379
64,2,Облачно (2),0.4963,96.3342
65,1,Ясно (1),0.1601,96.4942
66,2,Облачно (2),0.5898,97.084
67,3,Пасмурно (3),3.0951,100.179
68,2,Облачно (2),2.5731,102.7522
69,1,Ясно (1),2.0512,104.8034
70,2,Облачно (2),1.9625,106.7658
71,3,Пасмурно (3),2.9724,109.7383
72,1,Ясно (1),7.1159,116.8542
73,2,Облачно (2),0.571,117.4252
74,3,Пасмурно (3),3.2122,120.6374
75,2,Облачно (2),2.465,123.1024
76,3,Пасмурно (3),5.4217,128.5241
77,1,Ясно (1),0.4502,128.9744
78,2,Облачно (2),2.1584,131.1327
79,1,Ясно (1),2.4336,133.5664
80,2,Облачно (2),2.3749,135.9413
81,3,Пасмурно (3),3.4561,139.3974
82,1,Ясно (1),4.5435,143.941
83,2,Облачно (2),1.3748,145.3157
84,3,Пасмурно (3),0.5935,145.9092
85,1,Ясно (1),1.1989,147.1081
86,2,Облачно (2),1.0844,148.1926
87,3,Пасмурно (3),7.4463,155.6389
88,2,Облачно (2),0.9411,156.58
89,3,Пасмурно (3),0.5827,157.1627
90,2,Облачно (2),0.9238,158.0865
91,1,Ясно (1),1.039,159.1256
92,2,Облачно (2),0.6569,159.7824
93,1,Ясно (1),0.8579,160.6403
